statename,Districtname,block,pincode
Maharashtra,Osmanabad,Tuljapur,
Maharashtra,Osmanabad,Umarga,
Maharashtra,Osmanabad,Washi,
Maharashtra,Palghar,Dahanu,
Maharashtra,Palghar,Jawhar,
Maharashtra,Palghar,Mokhada,
Maharashtra,Palghar,Palghar,
Maharashtra,Palghar,Talasari,
Maharashtra,Palghar,Vasai,
Maharashtra,Palghar,Vikramgad,
Maharashtra,Palghar,Wada,
Maharashtra,Parbhani,Gangakhed,
Maharashtra,Parbhani,Jintur,
Maharashtra,Parbhani,Manwath,
Maharashtra,Parbhani,Palam,
Maharashtra,Parbhani,Parbhani,
Maharashtra,Parbhani,Pathri,
Maharashtra,Parbhani,Purna,
Maharashtra,Parbhani,Sailu,
Maharashtra,Parbhani,Sonpeth,
Maharashtra,Pune,Ambegaon,
Maharashtra,Pune,Baramati,
Maharashtra,Pune,Bhor,
Maharashtra,Pune,Daund,
Maharashtra,Pune,Haveli,
Maharashtra,Pune,Indapur,
Maharashtra,Pune,Junnar,
Maharashtra,Pune,Khed,
Maharashtra,Pune,Mawal,
Maharashtra,Pune,Mulshi,
Maharashtra,Pune,Pune City,
Maharashtra,Pune,Purandhar,
Maharashtra,Pune,Shirur,
Maharashtra,Pune,Velhe,
Maharashtra,Raigad,Alibag,
Maharashtra,Raigad,Karjat,
Maharashtra,Raigad,Khalapur,
Maharashtra,Raigad,Mahad,
Maharashtra,Raigad,Mangaon,
Maharashtra,Raigad,Mhasla,
Maharashtra,Raigad,Murud,
Maharashtra,Raigad,Panvel,
Maharashtra,Raigad,Pen,
Maharashtra,Raigad,Poladpur,
Maharashtra,Raigad,Roha,
Maharashtra,Raigad,Shrivardhan,
Maharashtra,Raigad,Sudhagad,
Maharashtra,Raigad,Tala,
Maharashtra,Raigad,Uran,
Maharashtra,Ratnagiri,Chiplun,
Maharashtra,Ratnagiri,Dapoli,
Maharashtra,Ratnagiri,Guhagar,
Maharashtra,Ratnagiri,Khed,
Maharashtra,Ratnagiri,Lanja,
Maharashtra,Ratnagiri,Mandangad,
Maharashtra,Ratnagiri,Rajapur,
Maharashtra,Ratnagiri,Ratnagiri,
Maharashtra,Ratnagiri,Sangameshwar,
Maharashtra,Sangli,Atpadi,
Maharashtra,Sangli,Jat,
Maharashtra,Sangli,Kadegaon,
Maharashtra,Sangli,Kavathemahankal,
Maharashtra,Sangli,Khanapur (Vita),
Maharashtra,Sangli,Miraj,
Maharashtra,Sangli,Palus,
Maharashtra,Sangli,Shirala,
Maharashtra,Sangli,Tasgaon,
Maharashtra,Sangli,Walwa,
Maharashtra,Satara,Jaoli,
Maharashtra,Satara,Karad,
Maharashtra,Satara,Khandala,
Maharashtra,Satara,Khatav,
Maharashtra,Satara,Koregaon,
Maharashtra,Satara,Mahabaleshwar,
Maharashtra,Satara,Man,
Maharashtra,Satara,Patan,
Maharashtra,Satara,Phaltan,
Maharashtra,Satara,Satara,
Maharashtra,Satara,Wai,
Maharashtra,Sindhudurg,Devgad,
Maharashtra,Sindhudurg,Dodamarg,
Maharashtra,Sindhudurg,Kankavli,
Maharashtra,Sindhudurg,Kudal,
Maharashtra,Sindhudurg,Malwan,
Maharashtra,Sindhudurg,Sawantwadi,
Maharashtra,Sindhudurg,Vaibhavvadi,
Maharashtra,Sindhudurg,Vengurla,
Maharashtra,Solapur,Akkalkot,
Maharashtra,Solapur,Barshi,
Maharashtra,Solapur,Karmala,
Maharashtra,Solapur,Madha,
Maharashtra,Solapur,Malshiras,
Maharashtra,Solapur,Mangalvedhe,
Maharashtra,Solapur,Mohol,
Maharashtra,Solapur,Pandharpur,
Maharashtra,Solapur,Sangole,
Maharashtra,Solapur,Solapur North,
Maharashtra,Solapur,Solapur South,
Maharashtra,Thane,Ambarnath,
Maharashtra,Thane,Bhiwandi,
Maharashtra,Thane,Kalyan,
Maharashtra,Thane,Murbad,
Maharashtra,Thane,Shahapur,
Maharashtra,Thane,Thane,
Maharashtra,Wardha,Arvi,
Maharashtra,Wardha,Ashti,
Maharashtra,Wardha,Deoli,
Maharashtra,Wardha,Hinganghat,
Maharashtra,Wardha,Karanja,
Maharashtra,Wardha,Samudrapur,
Maharashtra,Wardha,Seloo,
Maharashtra,Wardha,Wardha,
Maharashtra,Washim,Karanja,
Maharashtra,Washim,Malegaon,
Maharashtra,Washim,Mangrulpir,
Maharashtra,Washim,Manora,
Maharashtra,Washim,Risod,
Maharashtra,Washim,Washim,
Maharashtra,Yavatmal,Arni,
Maharashtra,Yavatmal,Babulgaon,
Maharashtra,Yavatmal,Darwha,
Maharashtra,Yavatmal,Darwha,
Maharashtra,Yavatmal,Digras,
Maharashtra,Yavatmal,Ghatanji,
Maharashtra,Yavatmal,Kalamb,
Maharashtra,Yavatmal,Kelapur,
Maharashtra,Yavatmal,Mahagaon,
Maharashtra,Yavatmal,Maregaon,
Maharashtra,Yavatmal,Ner,
Maharashtra,Yavatmal,Pusad,
Maharashtra,Yavatmal,Ralegaon,
Maharashtra,Yavatmal,Umarkhed,
Maharashtra,Yavatmal,Wani,
Maharashtra,Yavatmal,Wani,
Maharashtra,Yavatmal,Yavatmal,
Maharashtra,Yavatmal,Zari-Jamani,
